save,car_name,move,rad,x,y,speed,point,status,l2,l1,m,r1,r2,max_leng_sensor,count
1,car1,0,3.14,25,15,0,1,1,346,600,2000,599,346,2000,0
1,car1,8,3.49,27.02,25.83,2,1,1,284,365,818,1843,498,2000,1
1,car1,8,3.14,27.02,31.97,3,1,1,323,559,2000,640,369,2000,2
1,car1,8,3.49,29.15,37.83,4,1,1,262,337,755,1966,531,2000,3
1,car1,8,3.14,29.15,44.11,5,1,1,298,517,2000,682,394,2000,4
1,car1,8,2.79,27,50.02,6,2,1,435,1612,935,417,324,2000,5
1,car1,8,2.98,25.98,56.23,7,2,1,375,821,1912,488,331,2000,6
1,car1,8,3.33,27.15,62.42,8,2,1,295,427,1503,971,423,2000,7
1,car1,8,3.68,30.36,67.84,9,2,1,246,282,482,2000,722,2000,8
1,car1,8,3.85,34.44,72.63,10,2,1,209,218,317,1141,1174,2000,9
